"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total:","Estimate!!Total:!!Allocated","Estimate!!Total:!!Not Allocated",
"1500000US150019911000","Block Group 0; Census Tract 9911; Hawaii County; Hawaii","0","0","0",
"1500000US150019912000","Block Group 0; Census Tract 9912; Hawaii County; Hawaii","0","0","0",
"1500000US150019913000","Block Group 0; Census Tract 9913; Hawaii County; Hawaii","0","0","0",
"1500000US150019914000","Block Group 0; Census Tract 9914; Hawaii County; Hawaii","0","0","0",
"1500000US150019915000","Block Group 0; Census Tract 9915; Hawaii County; Hawaii","0","0","0",
"1500000US150019916000","Block Group 0; Census Tract 9916; Hawaii County; Hawaii","0","0","0",
"1500000US150019917000","Block Group 0; Census Tract 9917; Hawaii County; Hawaii","0","0","0",
"1500000US150030001071","Block Group 1; Census Tract 1.07; Honolulu County; Hawaii","806","115","691",
"1500000US150030001072","Block Group 2; Census Tract 1.07; Honolulu County; Hawaii","606","35","571",
"1500000US150030001081","Block Group 1; Census Tract 1.08; Honolulu County; Hawaii","566","49","517",
"1500000US150030001082","Block Group 2; Census Tract 1.08; Honolulu County; Hawaii","344","21","323",
"1500000US150030001083","Block Group 3; Census Tract 1.08; Honolulu County; Hawaii","655","284","371",
"1500000US150030001101","Block Group 1; Census Tract 1.10; Honolulu County; Hawaii","719","81","638",
"1500000US150030001102","Block Group 2; Census Tract 1.10; Honolulu County; Hawaii","474","137","337",
"1500000US150030001103","Block Group 3; Census Tract 1.10; Honolulu County; Hawaii","723","57","666",
"1500000US150030001104","Block Group 4; Census Tract 1.10; Honolulu County; Hawaii","310","0","310",
"1500000US150030001141","Block Group 1; Census Tract 1.14; Honolulu County; Hawaii","221","56","165",
"1500000US150030001142","Block Group 2; Census Tract 1.14; Honolulu County; Hawaii","401","19","382",
"1500000US150030001151","Block Group 1; Census Tract 1.15; Honolulu County; Hawaii","516","162","354",
"1500000US150030001152","Block Group 2; Census Tract 1.15; Honolulu County; Hawaii","216","68","148",
"1500000US150030001153","Block Group 3; Census Tract 1.15; Honolulu County; Hawaii","253","114","139",
"1500000US150030001161","Block Group 1; Census Tract 1.16; Honolulu County; Hawaii","1189","228","961",
"1500000US150030001171","Block Group 1; Census Tract 1.17; Honolulu County; Hawaii","722","15","707",
"1500000US150030001181","Block Group 1; Census Tract 1.18; Honolulu County; Hawaii","971","139","832",
"1500000US150030001191","Block Group 1; Census Tract 1.19; Honolulu County; Hawaii","401","99","302",
"1500000US150030001192","Block Group 2; Census Tract 1.19; Honolulu County; Hawaii","365","0","365",
"1500000US150030001193","Block Group 3; Census Tract 1.19; Honolulu County; Hawaii","311","17","294",
"1500000US150030001201","Block Group 1; Census Tract 1.20; Honolulu County; Hawaii","391","21","370",
"1500000US150030001202","Block Group 2; Census Tract 1.20; Honolulu County; Hawaii","320","137","183",
"1500000US150030001203","Block Group 3; Census Tract 1.20; Honolulu County; Hawaii","513","63","450",
"1500000US150030001211","Block Group 1; Census Tract 1.21; Honolulu County; Hawaii","788","85","703",
"1500000US150030001212","Block Group 2; Census Tract 1.21; Honolulu County; Hawaii","273","0","273",
"1500000US150030001221","Block Group 1; Census Tract 1.22; Honolulu County; Hawaii","496","30","466",
