"GEO_ID","NAME","B25046_001E","B25046_001M","B25046_002E","B25046_002M","B25046_003E","B25046_003M",
"Geography","Geographic Area Name","Estimate!!Aggregate number of vehicles available:","Margin of Error!!Aggregate number of vehicles available:","Estimate!!Aggregate number of vehicles available:!!Owner occupied","Margin of Error!!Aggregate number of vehicles available:!!Owner occupied","Estimate!!Aggregate number of vehicles available:!!Renter occupied","Margin of Error!!Aggregate number of vehicles available:!!Renter occupied",
"1500000US150010212042","Block Group 2; Census Tract 212.04; Hawaii County; Hawaii","184","104","184","104","-","**",
"1500000US150010212043","Block Group 3; Census Tract 212.04; Hawaii County; Hawaii","1330","276","1121","263","209","84",
"1500000US150010213001","Block Group 1; Census Tract 213; Hawaii County; Hawaii","1814","854","665","315","1149","822",
"1500000US150010213002","Block Group 2; Census Tract 213; Hawaii County; Hawaii","1348","467","1081","459","267","175",
"1500000US150010213003","Block Group 3; Census Tract 213; Hawaii County; Hawaii","2156","581","1950","583","206","100",
"1500000US150010213004","Block Group 4; Census Tract 213; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010214021","Block Group 1; Census Tract 214.02; Hawaii County; Hawaii","835","178","699","169","136","74",
"1500000US150010214022","Block Group 2; Census Tract 214.02; Hawaii County; Hawaii","1679","386","816","299","863","334",
"1500000US150010215021","Block Group 1; Census Tract 215.02; Hawaii County; Hawaii","1162","247","748","192","414","172",
"1500000US150010215022","Block Group 2; Census Tract 215.02; Hawaii County; Hawaii","1701","356","1183","292","518","268",
"1500000US150010215023","Block Group 3; Census Tract 215.02; Hawaii County; Hawaii","853","317","508","190","345","250",
"1500000US150010215041","Block Group 1; Census Tract 215.04; Hawaii County; Hawaii","1649","367","905","321","744","256",
"1500000US150010215042","Block Group 2; Census Tract 215.04; Hawaii County; Hawaii","1781","369","1212","275","569","231",
"1500000US150010215101","Block Group 1; Census Tract 215.10; Hawaii County; Hawaii","1557","539","1308","550","249","139",
"1500000US150010215102","Block Group 2; Census Tract 215.10; Hawaii County; Hawaii","600","189","325","123","275","164",
"1500000US150010215103","Block Group 3; Census Tract 215.10; Hawaii County; Hawaii","855","336","737","325","118","98",
"1500000US150010215104","Block Group 4; Census Tract 215.10; Hawaii County; Hawaii","273","117","131","71","142","103",
"1500000US150010215111","Block Group 1; Census Tract 215.11; Hawaii County; Hawaii","1427","378","1012","262","415","259",
"1500000US150010215121","Block Group 1; Census Tract 215.12; Hawaii County; Hawaii","2091","469","1740","418","351","318",
"1500000US150010215122","Block Group 2; Census Tract 215.12; Hawaii County; Hawaii","1702","474","1450","459","252","166",
"1500000US150010215131","Block Group 1; Census Tract 215.13; Hawaii County; Hawaii","1539","570","1089","405","450","367",
"1500000US150010215132","Block Group 2; Census Tract 215.13; Hawaii County; Hawaii","1909","682","1340","681","569","342",
"1500000US150010215133","Block Group 3; Census Tract 215.13; Hawaii County; Hawaii","1277","590","1178","586","99","101",
"1500000US150010216051","Block Group 1; Census Tract 216.05; Hawaii County; Hawaii","851","295","767","311","84","84",
"1500000US150010216052","Block Group 2; Census Tract 216.05; Hawaii County; Hawaii","488","177","346","159","142","107",
"1500000US150010216053","Block Group 3; Census Tract 216.05; Hawaii County; Hawaii","1204","376","585","343","619","231",
"1500000US150010216061","Block Group 1; Census Tract 216.06; Hawaii County; Hawaii","949","382","466","365","483","254",
"1500000US150010216062","Block Group 2; Census Tract 216.06; Hawaii County; Hawaii","1589","516","1456","492","133","150",
"1500000US150010216071","Block Group 1; Census Tract 216.07; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010216072","Block Group 2; Census Tract 216.07; Hawaii County; Hawaii","1536","534","1306","501","230","221",
"1500000US150010216073","Block Group 3; Census Tract 216.07; Hawaii County; Hawaii","1243","362","1003","336","240","215",
"1500000US150010216081","Block Group 1; Census Tract 216.08; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010216082","Block Group 2; Census Tract 216.08; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010216083","Block Group 3; Census Tract 216.08; Hawaii County; Hawaii","1428","447","1079","452","349","179",
"1500000US150010216084","Block Group 4; Census Tract 216.08; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010217051","Block Group 1; Census Tract 217.05; Hawaii County; Hawaii","2486","578","1834","484","652","443",
"1500000US150010217052","Block Group 2; Census Tract 217.05; Hawaii County; Hawaii","1207","524","1003","498","204","165",
"1500000US150010217053","Block Group 3; Census Tract 217.05; Hawaii County; Hawaii","1250","413","789","350","461","317",
"1500000US150010217061","Block Group 1; Census Tract 217.06; Hawaii County; Hawaii","1838","669","1410","557","428","380",
"1500000US150010217062","Block Group 2; Census Tract 217.06; Hawaii County; Hawaii","1389","349","1063","278","326","186",
"1500000US150010217071","Block Group 1; Census Tract 217.07; Hawaii County; Hawaii","2176","526","1795","502","381","239",
"1500000US150010217072","Block Group 2; Census Tract 217.07; Hawaii County; Hawaii","1057","402","880","374","177","136",
"1500000US150010217073","Block Group 3; Census Tract 217.07; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010217081","Block Group 1; Census Tract 217.08; Hawaii County; Hawaii","842","200","619","164","223","145",
"1500000US150010217082","Block Group 2; Census Tract 217.08; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010217083","Block Group 3; Census Tract 217.08; Hawaii County; Hawaii","1159","333","678","260","481","259",
"1500000US150010218001","Block Group 1; Census Tract 218; Hawaii County; Hawaii","892","278","707","283","185","86",
"1500000US150010218002","Block Group 2; Census Tract 218; Hawaii County; Hawaii","2216","566","2040","559","176","225",
"1500000US150010218003","Block Group 3; Census Tract 218; Hawaii County; Hawaii","1089","261","895","239","194","116",
"1500000US150010218004","Block Group 4; Census Tract 218; Hawaii County; Hawaii","844","295","679","224","165","170",
"1500000US150010219021","Block Group 1; Census Tract 219.02; Hawaii County; Hawaii","1217","278","1120","256","97","90",
"1500000US150010219022","Block Group 2; Census Tract 219.02; Hawaii County; Hawaii","391","177","247","166","144","94",
"1500000US150010219023","Block Group 3; Census Tract 219.02; Hawaii County; Hawaii","802","192","687","182","115","75",
"1500000US150010220001","Block Group 1; Census Tract 220; Hawaii County; Hawaii","1086","278","721","238","365","246",
"1500000US150010220002","Block Group 2; Census Tract 220; Hawaii County; Hawaii","898","245","703","209","195","155",
"1500000US150010221021","Block Group 1; Census Tract 221.02; Hawaii County; Hawaii","499","165","425","151","74","69",
"1500000US150010221022","Block Group 2; Census Tract 221.02; Hawaii County; Hawaii","860","265","739","260","121","61",
"1500000US150019900000","Block Group 0; Census Tract 9900; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019901000","Block Group 0; Census Tract 9901; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019903000","Block Group 0; Census Tract 9903; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019904000","Block Group 0; Census Tract 9904; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019905000","Block Group 0; Census Tract 9905; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019906000","Block Group 0; Census Tract 9906; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019907000","Block Group 0; Census Tract 9907; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019908000","Block Group 0; Census Tract 9908; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019909000","Block Group 0; Census Tract 9909; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019910000","Block Group 0; Census Tract 9910; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019911000","Block Group 0; Census Tract 9911; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019912000","Block Group 0; Census Tract 9912; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019913000","Block Group 0; Census Tract 9913; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019914000","Block Group 0; Census Tract 9914; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019915000","Block Group 0; Census Tract 9915; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019916000","Block Group 0; Census Tract 9916; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150019917000","Block Group 0; Census Tract 9917; Hawaii County; Hawaii","-","**","-","**","-","**",
"1500000US150030001071","Block Group 1; Census Tract 1.07; Honolulu County; Hawaii","1074","145","874","157","200","99",
"1500000US150030001072","Block Group 2; Census Tract 1.07; Honolulu County; Hawaii","917","159","809","148","108","68",
