"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Margin of Error!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Margin of Error!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Margin of Error!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Margin of Error!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Margin of Error!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Margin of Error!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Margin of Error!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Margin of Error!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Margin of Error!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Margin of Error!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Margin of Error!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Margin of Error!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Margin of Error!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Margin of Error!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Margin of Error!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Margin of Error!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters",
"1500000US150030037002","Block Group 2, Census Tract 37, Honolulu County, Hawaii","3056","528","3056","528","1528","224","866","185","174","96","692","182","662","209","264","133","398","165","770","166","0","11","50","49","17","27","573","245","544","237","0","11","29","46","0","11","0","11","0","11","0","11","0","11","66","78","0","11","52","48","0","11",
"1500000US150030037003","Block Group 3, Census Tract 37, Honolulu County, Hawaii","19","31","19","31","19","31","19","31","19","31","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US150030037004","Block Group 4, Census Tract 37, Honolulu County, Hawaii","422","321","422","321","143","83","103","92","36","42","67","83","40","46","22","35","18","28","108","162","0","11","0","11","0","11","63","99","63","99","0","11","0","11","0","11","44","50","0","11","0","11","0","11","0","11","0","11","64","76","0","11",
"1500000US150030037005","Block Group 5, Census Tract 37, Honolulu County, Hawaii","1264","379","1175","375","649","154","301","136","103","69","198","122","348","123","214","95","134","95","161","86","0","11","89","98","0","11","131","117","131","117","0","11","0","11","0","11","17","44","39","44","0","11","0","11","0","11","0","11","89","96","89","42",
"1500000US150030037006","Block Group 6, Census Tract 37, Honolulu County, Hawaii","443","364","443","364","215","122","42","34","42","34","0","11","173","115","53","49","120","124","48","79","0","11","0","11","0","11","180","193","180","193","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US150030037007","Block Group 7, Census Tract 37, Honolulu County, Hawaii","1587","313","1587","313","783","129","446","124","126","76","320","106","337","120","158","92","179","84","405","115","18","30","34","36","10","17","267","150","267","150","0","11","0","11","0","11","45","51","0","11","0","11","25","40","0","11","0","11","0","11","0","11",
"1500000US150030038001","Block Group 1, Census Tract 38, Honolulu County, Hawaii","4282","709","4282","709","2189","293","1226","275","230","154","996","249","963","210","592","195","371","143","911","250","0","11","110","99","16","27","664","287","664","287","0","11","0","11","0","11","0","11","212","194","53","87","0","11","0","11","0","11","127","124","0","11",
"1500000US150030038002","Block Group 2, Census Tract 38, Honolulu County, Hawaii","878","269","878","269","508","167","173","99","51","61","122","85","335","161","169","155","166","94","234","125","0","11","0","11","12","19","96","78","96","78","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","28","42","0","11",
"1500000US150030038003","Block Group 3, Census Tract 38, Honolulu County, Hawaii","1834","577","1834","577","835","216","429","202","208","168","221","133","406","152","218","97","188","121","256","113","16","28","0","11","0","11","545","312","545","312","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","182","183","0","11",
"1500000US150030039001","Block Group 1, Census Tract 39, Honolulu County, Hawaii","283","46","283","46","259","44","147","38","129","35","18","15","112","38","108","39","4","6","16","13","0","11","8","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US150030040001","Block Group 1, Census Tract 40, Honolulu County, Hawaii","667","154","620","117","387","69","211","68","137","56","74","43","176","58","83","35","93","43","112","52","0","11","36","27","0","11","85","41","85","41","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","47","76",
"1500000US150030040002","Block Group 2, Census Tract 40, Honolulu County, Hawaii","598","128","598","128","322","61","227","57","49","27","178","57","95","38","55","33","40","23","139","49","7","11","20","16","0","11","63","53","63","53","0","11","0","11","0","11","20","25","0","11","0","11","0","11","0","11","0","11","27","30","0","11",
