objectid,totloss,st_areashape,st_perimetershape
48,74.36861585,9793.60487280936,395.850575299568
49,8.51525289,9792.946660804,395.837272844466
50,0,9793.61578334058,395.850795797582
51,15.86788113,9792.94290572855,395.837196953125
52,0,9793.61168797331,395.850713031583
53,7.01639739,9793.58713197503,395.850216763525
54,6.30634219,9792.94870081818,395.837314073813
55,8.48098568,9792.91425541564,395.836617920451
56,5.62979014,9792.88458527104,395.836018275935
57,7.42920172,9792.84502514824,395.835218749445
58,5.44289956,9792.8102400547,395.83451572716
59,0.45585615,9793.593267452,395.850340759323
60,1.11740653,9792.88594545717,395.836045765623
61,6.58342426,9792.82149014192,395.83474309665
62,129.98876078,9792.79659507657,395.834239955659
63,119.04002978,9792.76692515644,395.83364031198
64,136.85738819,9792.73214014843,395.832937288618
65,1.12622157,9793.58439704548,395.850161491451
66,0,9793.54995062872,395.849465340185
67,35.07707222,9792.73861525112,395.833068153821
68,381.54521251,9792.70383019283,395.83236512858
69,62.59458996,9792.65404051688,395.831358849132
70,0,9793.58030199061,395.850078731707
71,1.86141881,9793.55574606232,395.849582464144
72,51.1235678,9792.70485044137,395.832385748289
73,335.43696546,9792.66529064094,395.831586221179
74,90.71214034,9792.64517074328,395.831179585354
75,0,9793.58643743518,395.850202727045
76,9.12949352,9793.56154142747,395.849699586712
77,201.36196798,9792.6366409875,395.831007193676
78,2.43058309,9793.55778649438,395.849623700857
79,130.0009273,9792.64721106454,395.831220821542
80,0,9793.55403157682,395.849547814924
81,310.31615524,9792.64345657383,395.831144941011
82,440.99450397,9792.60389681762,395.830345412189
83,200.84066823,9792.58411698859,395.829945648214
84,1.29111024,9793.55505216694,395.84956844074
85,1.77405057,9792.60014225583,395.830269529976
86,150.29412834,9792.57524743365,395.829766388266
87,135.54639482,9792.55580784931,395.829373500298
88,5.90801291,9792.52579795291,395.828766977965
89,0.00692491,9793.58574353558,395.850188703528
90,14.76536046,9793.55095712968,395.849485681306
91,111.33369026,9792.52170343014,395.82868422458
92,4.55259762,9793.59153928813,395.850305833771
93,83.07321791,9792.51794880231,395.82860834064
94,87.99587974,9792.48861942213,395.82801557091
95,3.29163903,9793.5877845724,395.850229952299
96,124.35160475,9792.48963999884,395.828036197679
97,0,9793.62359160474,395.850953599705
98,2.47400959,9793.58880516147,395.850250577961
99,118.28366669,9792.49577553341,395.828160201589
100,221.28842705,9792.45587594409,395.82735379863
101,26.41747003,9792.43609631452,395.826954035665
102,4.07736541,9793.62461234092,395.850974228301
103,0.23257055,9793.59460084162,395.850367706721
104,2.9925996,9792.45689655499,395.827374425923
105,159.36804717,9792.43711692859,395.826974663043
106,4.31734319,9793.62051747866,395.85089147267
107,235.08914802,9792.42824759208,395.826795406215
108,3.84108345,9793.66110004658,395.851711630499
109,0.13951804,9793.62665361298,395.851015481845
110,101.68414678,9792.42960847294,395.826822910786
111,5.664619,9793.65734567796,395.851635756286
112,26.18638352,9792.43540396309,395.826940042565
113,339.29828864,9792.40061955218,395.826237019421
114,0.25446094,9793.68326260946,395.852159526711
115,0.04604059,9793.65359128356,395.851559881463
116,19.86210125,9792.39686552856,395.826161147171
117,0.829925,9793.71872999214,395.852876306279
118,4.42071318,9793.68428348037,395.852180157867
119,20.13447959,9792.39277129868,395.826078399161
120,9.19434601,9793.70986031326,395.852697054159
121,0.22643517,9793.68530425969,395.852200787471
122,0.19448594,9792.39890716326,395.826202410428
123,16.94085781,9792.37435277104,395.825706144026
124,73.31217803,9792.34434309491,395.825099620474
125,109.2346121,9792.30989911342,395.824403474502
126,127.20697053,9792.28500454043,395.823900330295
127,199.96194439,9792.2502204748,395.823197308756
128,3.2480228,9793.75555862168,395.85362059478
129,3.39603933,9793.71599659784,395.852821065727
130,241.98114462,9792.40470288369,395.826319547171
131,207.11001415,9792.38014849147,395.825823280789
132,74.86954123,9792.34570436153,395.825127133163
133,265.02127645,9792.24169183901,395.823024936088
134,2.22562525,9792.21679735553,395.822521791887
135,0,9792.1970179728,395.822122029132
136,0,9792.16257426764,395.821425883356
137,2.58936004,9793.78147589319,395.854144369326
138,3.45905728,9793.75657949418,395.853641226094
139,0,9792.12403657311,395.820646992169
140,1.24031458,9793.84149959886,395.855357414374
141,5.87423428,9793.81216833475,395.854764646576
142,2.86146901,9793.78761227646,395.854268382283
143,0,9792.12505740663,395.820667624313
144,0,9792.1001632392,395.820164483705
145,1.76109594,9793.90220435314,395.856584219248
146,7.49953084,9793.86775756954,395.855888071863
147,7.62589848,9793.84286109183,395.855384929332
148,0,9792.07151509655,395.819585469927
149,3.01265737,9793.932897106,395.857204498966
150,5.09304016,9793.9032254514,395.856604855069
151,14.64866383,9792.0677617103,395.819509609488
152,21.84966559,9792.03331817988,395.818813462572
153,0.04670649,9793.99837727505,395.858527805642
154,11.95766901,9793.96359004731,395.857824781622
155,20.28193881,9793.92914326583,395.857128636562
156,15.46752027,9792.03911390503,395.818930601621
157,9.93258677,9794.02907036319,395.859148089141
158,24.40087273,9794.00451406991,395.858651825621
159,11.52297556,9793.9697266316,395.857948797488
160,0.43964872,9793.94005493335,395.857349153788
161,1.21631635,9792.00569154841,395.818255093085
162,6.74777288,9794.02497609515,395.859065347255
163,12.10920856,9792.01626202439,395.818468735897
164,8.93530768,9791.97704411601,395.817676090869
165,0.28682977,9794.09079701703,395.860395533985
166,12.3407675,9794.0659002688,395.859892391716
