"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N","P5_011N","P5_012N","P5_013N","P5_014N","P5_015N","P5_016N","P5_017N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Not Hispanic or Latino:"," !!Total:!!Not Hispanic or Latino:!!White alone"," !!Total:!!Not Hispanic or Latino:!!Black or African American alone"," !!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone"," !!Total:!!Not Hispanic or Latino:!!Asian alone"," !!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Not Hispanic or Latino:!!Some Other Race alone"," !!Total:!!Not Hispanic or Latino:!!Two or More Races"," !!Total:!!Hispanic or Latino:"," !!Total:!!Hispanic or Latino:!!White alone"," !!Total:!!Hispanic or Latino:!!Black or African American alone"," !!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone"," !!Total:!!Hispanic or Latino:!!Asian alone"," !!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Hispanic or Latino:!!Some Other Race alone"," !!Total:!!Hispanic or Latino:!!Two or More Races",
"1000000US150030086233010","Block 3010, Block Group 3, Census Tract 86.23, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086233011","Block 3011, Block Group 3, Census Tract 86.23, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086233012","Block 3012, Block Group 3, Census Tract 86.23, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086233013","Block 3013, Block Group 3, Census Tract 86.23, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086233014","Block 3014, Block Group 3, Census Tract 86.23, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086233015","Block 3015, Block Group 3, Census Tract 86.23, Honolulu County, Hawaii","117","109","0","0","0","2","46","0","61","8","2","0","0","0","3","0","3",
"1000000US150030086233016","Block 3016, Block Group 3, Census Tract 86.23, Honolulu County, Hawaii","177","159","2","0","0","5","68","0","84","18","0","0","0","0","5","1","12",
"1000000US150030086233017","Block 3017, Block Group 3, Census Tract 86.23, Honolulu County, Hawaii","149","138","6","4","0","3","61","0","64","11","0","0","0","1","4","0","6",
"1000000US150030086233018","Block 3018, Block Group 3, Census Tract 86.23, Honolulu County, Hawaii","119","107","3","0","0","2","33","0","69","12","0","0","0","0","0","0","12",
"1000000US150030086234000","Block 4000, Block Group 4, Census Tract 86.23, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086234001","Block 4001, Block Group 4, Census Tract 86.23, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086234002","Block 4002, Block Group 4, Census Tract 86.23, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086234003","Block 4003, Block Group 4, Census Tract 86.23, Honolulu County, Hawaii","119","116","3","0","0","101","1","0","11","3","0","0","0","0","0","3","0",
"1000000US150030086234004","Block 4004, Block Group 4, Census Tract 86.23, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086234005","Block 4005, Block Group 4, Census Tract 86.23, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086241000","Block 1000, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086241001","Block 1001, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","1046","965","101","9","1","578","57","2","217","81","2","0","0","23","2","7","47",
"1000000US150030086241002","Block 1002, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","75","65","9","8","0","26","14","1","7","10","1","0","0","0","1","1","7",
"1000000US150030086241003","Block 1003, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","57","49","12","0","0","22","7","0","8","8","0","0","3","0","0","1","4",
"1000000US150030086241004","Block 1004, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","50","41","3","0","0","27","2","0","9","9","0","0","0","2","0","2","5",
"1000000US150030086241005","Block 1005, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","50","36","0","3","0","21","1","2","9","14","0","0","0","0","0","0","14",
"1000000US150030086241006","Block 1006, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","50","48","14","1","2","18","2","0","11","2","0","0","0","0","0","1","1",
"1000000US150030086241007","Block 1007, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","64","57","2","0","0","45","1","0","9","7","0","0","0","0","0","1","6",
"1000000US150030086241008","Block 1008, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","66","64","2","0","0","43","6","0","13","2","0","0","0","2","0","0","0",
"1000000US150030086241009","Block 1009, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","58","45","2","2","0","26","2","3","10","13","2","0","1","3","0","0","7",
"1000000US150030086241010","Block 1010, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","31","26","9","0","0","15","0","0","2","5","2","0","0","0","0","0","3",
"1000000US150030086241011","Block 1011, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","29","20","1","0","0","8","1","0","10","9","0","0","0","0","0","1","8",
"1000000US150030086241012","Block 1012, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","77","64","5","11","0","26","0","1","21","13","1","0","0","5","0","0","7",
"1000000US150030086241013","Block 1013, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086241014","Block 1014, Block Group 1, Census Tract 86.24, Honolulu County, Hawaii","53","37","1","2","0","21","0","0","13","16","0","0","0","9","0","2","5",
"1000000US150030086242000","Block 2000, Block Group 2, Census Tract 86.24, Honolulu County, Hawaii","68","60","0","0","0","54","0","0","6","8","3","0","0","0","0","0","5",
"1000000US150030086242001","Block 2001, Block Group 2, Census Tract 86.24, Honolulu County, Hawaii","55","48","8","0","0","37","1","0","2","7","0","0","0","0","0","5","2",
"1000000US150030086242002","Block 2002, Block Group 2, Census Tract 86.24, Honolulu County, Hawaii","19","16","0","1","0","10","0","0","5","3","0","0","0","0","0","0","3",
"1000000US150030086242003","Block 2003, Block Group 2, Census Tract 86.24, Honolulu County, Hawaii","41","36","15","0","0","15","0","0","6","5","0","0","1","0","0","0","4",
"1000000US150030086242004","Block 2004, Block Group 2, Census Tract 86.24, Honolulu County, Hawaii","58","51","9","1","0","27","5","0","9","7","0","0","0","0","0","1","6",
"1000000US150030086242005","Block 2005, Block Group 2, Census Tract 86.24, Honolulu County, Hawaii","963","914","108","12","0","580","45","0","169","49","8","0","0","17","0","1","23",
"1000000US150030086242006","Block 2006, Block Group 2, Census Tract 86.24, Honolulu County, Hawaii","42","35","0","0","0","22","3","0","10","7","0","0","0","0","3","0","4",
"1000000US150030086242007","Block 2007, Block Group 2, Census Tract 86.24, Honolulu County, Hawaii","39","31","4","0","0","17","1","0","9","8","0","0","0","3","0","0","5",
"1000000US150030086242008","Block 2008, Block Group 2, Census Tract 86.24, Honolulu County, Hawaii","56","43","4","2","0","14","0","1","22","13","0","0","0","0","1","0","12",
"1000000US150030086242009","Block 2009, Block Group 2, Census Tract 86.24, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086242010","Block 2010, Block Group 2, Census Tract 86.24, Honolulu County, Hawaii","22","21","0","0","0","14","0","0","7","1","0","0","0","0","0","0","1",
"1000000US150030086251000","Block 1000, Block Group 1, Census Tract 86.25, Honolulu County, Hawaii","67","58","4","0","0","44","4","0","6","9","1","0","0","0","0","2","6",
