"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities",
"1000000US150010201003006","Block 3006, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003007","Block 3007, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003008","Block 3008, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003009","Block 3009, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003010","Block 3010, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003011","Block 3011, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003012","Block 3012, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003013","Block 3013, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003014","Block 3014, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003015","Block 3015, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003016","Block 3016, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003017","Block 3017, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003018","Block 3018, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003019","Block 3019, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003020","Block 3020, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003021","Block 3021, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003022","Block 3022, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003023","Block 3023, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003024","Block 3024, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003025","Block 3025, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003026","Block 3026, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003027","Block 3027, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003028","Block 3028, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003029","Block 3029, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003030","Block 3030, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003031","Block 3031, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003032","Block 3032, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003033","Block 3033, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003034","Block 3034, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003035","Block 3035, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003036","Block 3036, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003037","Block 3037, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003038","Block 3038, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003039","Block 3039, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003040","Block 3040, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003041","Block 3041, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003042","Block 3042, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003043","Block 3043, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003044","Block 3044, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003045","Block 3045, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003046","Block 3046, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003047","Block 3047, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003048","Block 3048, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003049","Block 3049, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003050","Block 3050, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003051","Block 3051, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003052","Block 3052, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003053","Block 3053, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003054","Block 3054, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003055","Block 3055, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003056","Block 3056, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003057","Block 3057, Block Group 3, Census Tract 201, Hawaii County, Hawaii","13","0","0","0","0","0","13","0","0","13",
"1000000US150010201003058","Block 3058, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003059","Block 3059, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003060","Block 3060, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003061","Block 3061, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003062","Block 3062, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003063","Block 3063, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003064","Block 3064, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003065","Block 3065, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003066","Block 3066, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003067","Block 3067, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003068","Block 3068, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003069","Block 3069, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003070","Block 3070, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003071","Block 3071, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003072","Block 3072, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003073","Block 3073, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003074","Block 3074, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003075","Block 3075, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003076","Block 3076, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003077","Block 3077, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003078","Block 3078, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003079","Block 3079, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003080","Block 3080, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003081","Block 3081, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003082","Block 3082, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003083","Block 3083, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003084","Block 3084, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003085","Block 3085, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003086","Block 3086, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003087","Block 3087, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003088","Block 3088, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003089","Block 3089, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004000","Block 4000, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004001","Block 4001, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004002","Block 4002, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004003","Block 4003, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004004","Block 4004, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004005","Block 4005, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004006","Block 4006, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004007","Block 4007, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004008","Block 4008, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004009","Block 4009, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004010","Block 4010, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004011","Block 4011, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004012","Block 4012, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004013","Block 4013, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004014","Block 4014, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004015","Block 4015, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004016","Block 4016, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004017","Block 4017, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004018","Block 4018, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004019","Block 4019, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004020","Block 4020, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004021","Block 4021, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201004022","Block 4022, Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
