X,Y,OBJECTID,ENABLED,ANCILLARYROLE,SEWERID,BASINID,PROJECTID,STATUS,OWNER,DATEINSTALLED,DATEDIGITIZED,DATEMODIFIED,ADDRESS,TANKCAPACITY,GLOBALID,PUMPTYPE,TMK,LPPUMPSUBTYPE,NO_PUMPS,NEIGHBORHOOD,GROUNDELEV
-157.895971153,21.340989091,135,1,0,4016647,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/04/02 00:00:00+00,2003/07/23 00:00:00+00,850  AHUA ST,,{EF5C1710-3AED-4D4A-9EA5-561EBABEABEA},LP,11005080,1,,AIRPORT,
-157.928166475,21.6498464740001,136,1,0,4041437,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-62  LANIHULI ST,,{A3F78440-4D0E-426F-9CBB-F2921A8FBE2E},LP,55016008,1,,LAIE,
-157.929910087,21.6518221490001,137,1,0,4041281,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-113A POOHAILI ST,,{EF91D078-37E0-4AE1-BA40-FD54F6D65587},LP,55017028,1,,LAIE,
-157.929429031,21.65209602,138,1,0,4041283,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-697  WAHINEPEE ST,,{7437FE58-7509-449D-AD3B-7DFE9711163A},LP,55009043,1,,LAIE,
-157.930975883,21.651117293,139,1,0,4041292,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-129  POOHAILI ST,,{5282689D-06F7-4DFC-A781-9A689F341312},LP,55017042,1,,LAIE,
-157.931726234,21.649218094,140,1,0,4041308,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-640  LANIHULI PL,,{50C012CD-8B71-4A48-A959-17E634DA34EE},LP,55004009,1,,LAIE,
-157.929620086,21.6511590470001,141,1,0,4041328,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-106  POOHAILI ST,,{F1BB10CD-C76F-46D6-BBE5-535BCE638229},LP,55017021,1,,LAIE,
-157.929474572,21.6504864240001,142,1,0,4041355,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-650  NANILOA LP,,{9766471D-8BC5-47D4-9ABB-E9FB35F5F0CC},LP,55017063,1,,LAIE,
-157.928719877,21.650885944,143,1,0,4041371,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-678  WAHINEPEE ST,,{C10CA76B-32F5-4E43-A77C-65EE16634968},LP,55016021,1,,LAIE,
-157.926250221,21.6505644760001,144,1,0,4041404,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-23  LANIHULI ST,,{F968E39C-4E16-43BD-B896-300CB2AE49CB},LP,55016039,1,,LAIE,
-157.927786151,21.649355789,145,1,0,4041445,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2018/10/19 14:47:30+00,55-622  MOANA ST,,{9898355F-A633-4443-9E8B-529E63EA52FE},LP,55016010,1,,Laie,
-157.926949142,21.6497535440001,146,1,0,4041451,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2021/03/02 11:10:35+00,55-628  IOSEPA ST,265,{F290BC14-0437-4D92-97B4-7554AF49EC24},LP,55015038,1,1,LAIE,
-157.926509882,21.6497059450001,147,1,0,4041452,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-626  IOSEPA ST,,{B1E0E4AD-0EEE-4BFB-9B7C-6E651B5C8CAB},LP,55015012,1,,LAIE,
