"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US150010216083","Block Group 3, Census Tract 216.08, Hawaii County, Hawaii","763","154","54","53","0","12","16","25","17","26","18","29","16","26","0","12","0","12","58","52","76","72","39","40","124","91","166","113","7","15","50","49","122","93",
"1500000US150010216084","Block Group 4, Census Tract 216.08, Hawaii County, Hawaii","326","177","18","28","0","12","0","12","15","25","0","12","0","12","0","12","0","12","0","12","17","28","33","38","140","171","33","38","0","12","70","86","0","12",
"1500000US150010217051","Block Group 1, Census Tract 217.05, Hawaii County, Hawaii","1164","327","55","48","0","12","48","76","15","23","0","12","14","21","69","83","0","12","17","25","121","140","60","52","210","158","79","76","203","185","109","101","164","121",
"1500000US150010217052","Block Group 2, Census Tract 217.05, Hawaii County, Hawaii","539","231","146","194","0","12","0","12","43","55","0","12","0","12","64","77","6","10","0","12","59","67","6","10","0","12","80","63","19","25","57","81","59","44",
"1500000US150010217053","Block Group 3, Census Tract 217.05, Hawaii County, Hawaii","508","184","41","65","0","12","2","4","29","32","18","32","0","12","35","40","7","8","5","8","104","113","20","21","40","60","24","33","81","80","57","68","45","70",
"1500000US150010217061","Block Group 1, Census Tract 217.06, Hawaii County, Hawaii","646","191","19","31","0","12","0","12","33","48","0","12","47","57","0","12","2","5","0","12","10","13","26","28","98","94","147","134","104","86","53","54","107","101",
"1500000US150010217062","Block Group 2, Census Tract 217.06, Hawaii County, Hawaii","676","127","56","55","24","18","19","14","8","8","7","9","66","63","5","6","2","6","29","27","50","59","33","23","131","70","99","73","27","17","66","34","54","33",
"1500000US150010217071","Block Group 1, Census Tract 217.07, Hawaii County, Hawaii","1055","184","56","55","15","23","56","71","0","12","15","25","89","83","45","52","0","12","0","12","100","83","153","76","195","117","132","94","66","59","81","57","52","37",
"1500000US150010217072","Block Group 2, Census Tract 217.07, Hawaii County, Hawaii","350","132","14","23","16","23","0","12","0","12","27","43","0","12","0","12","20","32","0","12","30","46","52","62","51","63","93","91","47","57","0","12","0","12",
"1500000US150010217073","Block Group 3, Census Tract 217.07, Hawaii County, Hawaii","86","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","29","34","30","50","0","12","27","31",
"1500000US150010217081","Block Group 1, Census Tract 217.08, Hawaii County, Hawaii","574","109","136","81","8","14","18","19","3","5","6","7","0","12","5","8","6","6","4","5","61","62","33","20","31","22","67","28","77","62","23","14","96","37",
"1500000US150010217082","Block Group 2, Census Tract 217.08, Hawaii County, Hawaii","420","147","0","12","0","12","0","12","0","12","0","12","0","12","15","21","0","12","0","12","14","18","74","70","18","26","0","12","221","125","78","73","0","12",
"1500000US150010217083","Block Group 3, Census Tract 217.08, Hawaii County, Hawaii","842","168","0","12","0","12","0","12","13","21","0","12","15","23","116","81","14","23","73","79","94","79","96","71","74","77","192","101","20","32","109","89","26","42",
"1500000US150010218001","Block Group 1, Census Tract 218, Hawaii County, Hawaii","425","115","0","12","17","18","26","26","7","10","16","17","11","13","18","19","7","9","8","12","48","33","60","40","36","23","97","94","11","16","39","53","24","22",
"1500000US150010218002","Block Group 2, Census Tract 218, Hawaii County, Hawaii","975","225","4","7","8","9","4","5","58","83","7","9","7","6","35","29","7","8","18","19","14","9","49","53","199","81","79","83","64","65","129","75","293","205",
"1500000US150010218003","Block Group 3, Census Tract 218, Hawaii County, Hawaii","606","152","21","27","13","18","43","33","5","9","96","100","10","17","0","12","30","28","0","12","73","45","112","56","71","41","58","48","37","34","13","20","24","26",
"1500000US150010218004","Block Group 4, Census Tract 218, Hawaii County, Hawaii","275","112","8","12","14","17","0","12","0","12","9","12","8","12","22","27","5","7","49","75","21","21","18","16","11","11","17","15","21","17","18","16","54","78",
"1500000US150010219021","Block Group 1, Census Tract 219.02, Hawaii County, Hawaii","634","150","10","10","31","47","21","19","15","16","2","3","43","43","0","12","88","72","0","12","55","52","145","134","91","59","75","52","10","8","48","26","0","12",
"1500000US150010219022","Block Group 2, Census Tract 219.02, Hawaii County, Hawaii","187","61","16","20","31","37","19","19","0","12","17","20","0","12","0","12","11","16","12","18","26","19","0","12","13","19","0","12","11","17","12","19","19","21",
"1500000US150010219023","Block Group 3, Census Tract 219.02, Hawaii County, Hawaii","378","88","28","32","0","12","10","16","11","16","13","18","0","12","0","12","41","35","11","15","37","30","32","31","92","48","47","26","26","25","30","27","0","12",
