X,Y,objectid,name,island
-157.739351351709,21.396677067904,65,Kailua,Oahu
-157.750283383686,21.3768948916765,66,Olomana,Oahu
-157.800489996923,21.4136086641849,67,Kaneohe (Hq.),Oahu
-158.139765453133,21.381696146363,68,Nanakuli,Oahu
-157.951151244862,21.4016853668764,69,Waiau,Oahu
-157.930986981481,21.3836004059367,70,Aiea,Oahu
-158.022336508949,21.3766732467284,71,Waipahu,Oahu
-157.971395793161,21.3902340367479,72,Pearl City,Oahu
-157.715163163499,21.3474194210974,73,Waimanalo,Oahu
-157.810790536676,21.3097619956646,74,Manoa,Oahu
-157.87065032236,21.3440775884436,75,Kalihi Uka,Oahu
-157.875747273213,21.3316080712139,76,Kalihi,Oahu
-157.846727683759,21.3281607064766,77,Nuuanu,Oahu
-157.858333498438,21.3242827745431,78,Kuakini,Oahu
-157.878588249833,21.3216312102101,79,Kalihi Kai,Oahu
-157.858929422592,21.3112744388846,80,Central (Hq.),Oahu
-157.865173877279,21.3112121192118,81,Waterfront,Oahu
-158.086491128834,21.3545413961228,82,Makakilo,Oahu
-158.090579104982,21.3243514276204,83,Kapolei (Hq.),Oahu
-157.900768158229,21.3450862575309,84,Moanalua,Oahu
-157.932150676302,21.3399446337586,85,Mokulele,Oahu
-157.912392169411,21.3195168601847,86,Airport,Oahu
-158.009662437416,21.3116990315421,87,Ewa Beach,Oahu
-157.6971923876,21.2862721163536,88,Hawaii Kai,Oahu
-157.759786362956,21.2770601555763,89,Wailupe,Oahu
-157.794902303255,21.2997933569114,90,Palolo,Oahu
-157.824873550863,21.2882276532926,91,McCully,Oahu
-157.799569239681,21.2783240387467,92,Kaimuki,Oahu
-157.816321915677,21.2728814520103,93,Waikiki (Hq.),Oahu
-157.839009226593,21.3067976525298,94,Makiki,Oahu
-157.858841056555,21.3026005716449,95,Kakaako,Oahu
-157.839138438125,21.2927517278248,96,Pawaa,Oahu
-157.999552778292,21.4714427528535,97,Mililani Mauka (Hq.),Oahu
-158.004919589567,21.4004282192967,98,Waikele,Oahu
-156.499358993414,20.8876938679417,99,E1,Maui
-156.456745897633,20.8795638749708,100,E10,Maui
-156.668092974289,20.9848395300786,101,E11,Maui
-156.796332630521,21.0727966239823,102,E12,Molokai
-156.329223455151,20.7579236594052,103,E13,Maui
-156.436893210152,20.7060888198585,104,E14,Maui
-156.380065816608,20.9174906097777,105,E2,Maui
-156.684746679657,20.9053363890138,106,E3,Maui
-157.009835947062,21.089028532692,107,E4,Molokai
-156.330630880084,20.8357723800169,108,E5,Maui
-156.45338060379,20.7347581423602,109,E6,Maui
-155.993197118206,20.7619240471579,110,E7,Maui
-156.918690394194,20.818606100519,111,E8,Lanai
-157.050280493481,21.1633873470894,112,E9,Molokai
