X,Y,objectid,wwtp_name,county,permit,uic_num,tmk,type,owner_type,class,atu_date,lat_dd,long_dd,shape
-158.105762610616,21.5811065901609,51,"McDonald's Haleiwa - 4,000 gpd",C&C Honolulu,222,,166017029,WWTP,Private,2,6/24/1991,21.58111,-158.105777,
-158.105264609959,21.5821065903514,52,North Shore Village,C&C Honolulu,223,UO-1778,166017033,WWTP,Private,1,12/13/1979,21.58211,-158.105279,
-157.890499602736,21.5903065923678,53,Pat's at Punaluu,C&C Honolulu,226a,UO-1342,153008002,WWTP,Private,2,NULL,21.59031,-157.890514,
-157.890499602736,21.5903065923678,54,"Pat's at Punaluu - 32,140 GPD TEMPORARY WWTP",C&C Honolulu,226b,UO-1342,153008002,WWTP,Private,,12/23/2020,21.59031,-157.890514,
-158.136407611454,21.5822925893148,55,Puuiki Hale Condominiums,C&C Honolulu,227,UO-1202,168011054,WWTP,Private,1,NULL,21.582296,-158.136422,
-157.778080595923,21.3658435807378,56,Saint Stephen's Diocesan Center,C&C Honolulu,229,UO-2615,142011004,WWTP,Private,1,NULL,21.365847,-157.778095,
-158.139858611187,21.5825465891739,57,Waialua Homes Association WWTP,C&C Honolulu,231,,168011021,WWTP,Private,1,6/28/1994,21.58255,-158.139873,
-158.038266609037,21.6775765965398,58,Sunset Beach Vista WWTP,C&C Honolulu,232b,UO-1247,159001080,WWTP,Private,1,4/16/2018,21.67758,-158.038281,
-158.138998611946,21.5831325897445,59,Sunset Paradise Apartments,C&C Honolulu,233,UO-1950,168011033,WWTP,Private,1,NULL,21.583136,-158.139013,
-158.136659611754,21.583666590108,60,Sunset Shores Apartments,C&C Honolulu,234,UO-1324,168011046,WWTP,Private,2,8/23/1983,21.58367,-158.136674,
-158.033685609106,21.679894596395,61,Sunset Terrace,C&C Honolulu,235,UO-1825,158005080,WWTP,Private,2,8/24/1978,21.679898,-158.0337,
-157.990624606905,21.6949595980835,62,Turtle Bay Resort Wastewater Treatment Plant,C&C Honolulu,237,UO-1532,157001035,Reuse R2,Private,3,NULL,21.694963,-157.990639,
-158.027171608616,21.6855185967572,63,Waialee Livestock Research Farm,C&C Honolulu,238,UO-1829,158001001,WWTP,Private,1,4/6/1989,21.685522,-158.027186,
-158.059418609033,21.6370255938708,64,Waimea Valley Audubon Center,C&C Honolulu,239,,161002002,WWTP,Private,2,4/6/1989,21.637029,-158.059433,
-157.855319600991,21.5574505909507,65,Makaua Shores,C&C Honolulu,240,,151003002,WWTP,Private,1,NULL,21.557454,-157.855334,
-158.107688606554,21.3026215728897,66,"AES Hawaii, Inc.",C&C Honolulu,241,UO-1482,191026028,WWTP,Private,2,9/10/1991,21.302625,-158.107703,
-158.059148606911,21.4611565830665,67,Kunia Village,C&C Honolulu,244,,192005023,Reuse R2,Private,2,1/1/1999,21.46116,-158.059163,
-157.81143359784,21.4426765842718,68,Heeia Kea Small Boat Harbor,C&C Honolulu,245,,146006064,WWTP,Public,2,NULL,21.44268,-157.811448,
-157.965711602869,21.443002582833,69,Waiawa Correctional Facility WWTP,C&C Honolulu,246,,196005011,Reuse R2,Public,2,5/18/1998,21.443006,-157.965726,
-157.986639604164,21.4409435827983,70,Mililani Memorial Park & Mortuary,C&C Honolulu,249,,194006010,WWTP,Private,2,4/6/1992,21.440947,-157.986654,
-158.102739610204,21.5852455901659,71,North Shore Marketplace,C&C Honolulu,250,,162005003,WWTP,Private,2,10/16/2009,21.585249,-158.102754,
-158.138028611851,21.5833425898527,72,Five 2-bedrm residences at 68-152 Au St,C&C Honolulu,251,,168011030,WWTP,Private,1,2/10/2005,21.583346,-158.138043,
-157.770944595394,21.3966055823458,73,"2,500 GPD Kapaa Light Industrial Park - Pilot Project",C&C Honolulu,252,,142015008,WWTP,Private,,6/1/2021,21.396609,-157.770959,
-158.137777611185,21.5824395895986,74,Waialua Palms,C&C Honolulu,253,,168011015,WWTP,Private,1,8/25/1994,21.582443,-158.137792,
-158.139879611496,21.5827915897686,75,Ehukai Homeowners Association,C&C Honolulu,256,,168011036,WWTP,Private,1,10/28/2008,21.582795,-158.139894,
-158.136666611545,21.5833445899204,76,Hale Nanea Homeowners Association,C&C Honolulu,258,,168011060,WWTP,Private,1,5/21/1996,21.583348,-158.136681,
-157.894785602456,21.5866725926287,77,"Dignity Senior Living (fka Oceanside Assd Living; fka  Ponds at Punaluu)",C&C Honolulu,260,,153009058,WWTP,Private,1,5/6/1997,21.586676,-157.8948,
-157.844194598679,21.4633405853959,78,Wailehua Apartments,C&C Honolulu,263,,147058008,WWTP,Private,,4/8/1998,21.463344,-157.844209,
-158.138921611811,21.5818275899306,79,"Waialua Multi-Plex; AOAO 68-023 Au Street, A-D  (formerly Shawn Kelly Apts.)",C&C Honolulu,264,,168011005,WWTP,Private,1,2/3/2007,21.581831,-158.138936,
-158.137188611173,21.5833355897684,80,Waialua Ocean Villas WWTP,C&C Honolulu,266,,168011062,WWTP,Private,1,3/23/2007,21.583339,-158.137203,
-158.139322611233,21.5830195899323,81,Ohana Pili Kai Condo,C&C Honolulu,267,,168011034,WWTP,Private,1,9/28/2005,21.583023,-158.139337,
-158.136397611472,21.5825535899235,82,Au Kai Hale Mauka Wastewater Treatment Plant,C&C Honolulu,268,,168011053,WWTP,Private,,11/3/2010,21.582557,-158.136412,
-158.136351611246,21.5828255900472,83,Au Kai Hale Makai,C&C Honolulu,269,,168011052,WWTP,Private,1,7/1/2011,21.582829,-158.136366,
-157.663628590689,21.3143325785406,84,Sea Life Park (270-1 Lower WWTP) Modification to accept Cavitette flow & Abandon Cavitette (270-3),C&C Honolulu,270-1,,141014013,WWTP,Private,2,8/12/2020,21.314336,-157.663643,
-157.66248759031,21.3133475782195,85,Sea Life Park WWTP - 2 (Restroom Plant),C&C Honolulu,270-2,UO-2037,141014013,WWTP,Private,1,NULL,21.313351,-157.662502,
-157.662088590164,21.3135465788282,86,Sea Life Park - Restroom (Upper WWTP),C&C Honolulu,270-4,,141014013,WWTP,Private,,6/20/2019,21.31355,-157.662103,
-158.136155611105,21.5833515892948,87,North Shore Villas WTW,C&C Honolulu,271,,168011050,WWTP,Private,1,11/3/2010,21.583355,-158.13617,
-158.138141611985,21.5824475892147,88,Robison Apts 68-052 Akule Street,C&C Honolulu,272,,168011017,WWTP,Private,1,9/19/2008,21.582451,-158.138156,
-158.194174612774,21.473931581923,89,Makaha Valley Country Club Wastewater Treatment Works,C&C Honolulu,274,UO-2531,184002005,WWTP,Private,1,12/14/2006,21.473935,-158.194189,
-158.063659609412,21.6443475944973,90,Waimea Bay Apartments,C&C Honolulu,275,UO-2632,159004022,WWTP,Private,1,NULL,21.644351,-158.063674,
-158.097009605864,21.298995572827,91,Hawaii Livestock Cooperative's Slaughterhouse,C&C Honolulu,276,,191031025,WWTP,Private,,7/2/2004,21.298999,-158.097024,
-158.097931606451,21.3096165735927,92,Coca Cola Membrane Bioreactor Wastewater Treatment Facility,C&C Honolulu,277,UO-1991,191032048,WWTP,Private,2,10/12/2007,21.30962,-158.097946,
-158.045464605596,21.3937065791006,93,Monsanto Technology LLC Kunia WWTP,C&C Honolulu,279,,192001001,WWTP,Private,1,11/5/2009,21.39371,-158.045479,
-158.139596611942,21.5823515895742,94,68-088 Akule Street Apartments,C&C Honolulu,280,,168011020,WWTP,Private,,2/20/2009,21.582355,-158.139611,
-158.103661610079,21.588418590625,95,Haleiwa Commercial Building WWTP (Haleiwa Plaza II),C&C Honolulu,281,,166009014,WWTP,Private,1,1/25/2010,21.588422,-158.103676,
-158.138287611605,21.582610589496,96,68-058 Akule Street,C&C Honolulu,282,,168011069,WWTP,Private,,11/30/2009,21.582614,-158.138302,
-158.108755606383,21.3017835724624,97,Pacific Allied Products - Campbell Industrial Park,C&C Honolulu,285,,191026016,Non-Domestic,Private,,2/1/2011,21.301787,-158.10877,
-158.106075606742,21.3045005724211,98,"Covanta Honolulu Resource Recovery Venture, LLC ",C&C Honolulu,286,UO-2424,191026030,WWTP,Public,3,7/1/2011,21.304504,-158.10609,
-158.061688609392,21.6485275948821,99,Foodland Supermarket Pupukea,C&C Honolulu,288,,159011016,WWTP,Private,2,5/24/2021,21.648531,-158.061703,
-158.139486611327,21.5825805893551,100,68-085 Akule Street,C&C Honolulu,289,,168011022,WWTP,Private,,NULL,21.582584,-158.139501,
-158.103496610588,21.5902595903984,101,"Haleiwa Store Lots, aka Haleiwa Commercial Redevelopment",C&C Honolulu,290,,166004034,WWTP,Private,,2/24/2016,21.590263,-158.103511,
-157.945308605543,21.6744405972787,102,Kahuku Villas 6800 gpd Wastewater Treatment Plant,C&C Honolulu,294,,156011001,WWTP,Private,,12/8/2021,21.674444,-157.945323,
-158.074393608311,21.51557958615,103,KCI Villa Rose Egg Ranch,C&C Honolulu,296,,165002005,Non-Domestic,Private,,1/18/2022,21.515583,-158.074408,
