"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US150010217044","Block Group 4, Census Tract 217.04, Hawaii County, Hawaii","925","143","724","143","201","93",
"1500000US150010218001","Block Group 1, Census Tract 218, Hawaii County, Hawaii","372","70","268","65","104","33",
"1500000US150010218002","Block Group 2, Census Tract 218, Hawaii County, Hawaii","895","174","691","200","204","168",
"1500000US150010218003","Block Group 3, Census Tract 218, Hawaii County, Hawaii","594","123","440","107","154","67",
"1500000US150010218004","Block Group 4, Census Tract 218, Hawaii County, Hawaii","251","70","187","70","64","29",
"1500000US150010219021","Block Group 1, Census Tract 219.02, Hawaii County, Hawaii","515","111","361","102","154","91",
"1500000US150010219022","Block Group 2, Census Tract 219.02, Hawaii County, Hawaii","235","70","110","53","125","57",
"1500000US150010219023","Block Group 3, Census Tract 219.02, Hawaii County, Hawaii","396","76","306","70","90","46",
"1500000US150010220001","Block Group 1, Census Tract 220, Hawaii County, Hawaii","446","85","367","75","79","62",
"1500000US150010220002","Block Group 2, Census Tract 220, Hawaii County, Hawaii","422","73","293","66","129","55",
"1500000US150010221021","Block Group 1, Census Tract 221.02, Hawaii County, Hawaii","224","73","187","69","37","35",
"1500000US150010221022","Block Group 2, Census Tract 221.02, Hawaii County, Hawaii","395","71","285","66","110","59",
"1500000US150019900000","Block Group 0, Census Tract 9900, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019901000","Block Group 0, Census Tract 9901, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019903000","Block Group 0, Census Tract 9903, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019904000","Block Group 0, Census Tract 9904, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019905000","Block Group 0, Census Tract 9905, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019906000","Block Group 0, Census Tract 9906, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019907000","Block Group 0, Census Tract 9907, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019908000","Block Group 0, Census Tract 9908, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019909000","Block Group 0, Census Tract 9909, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019910000","Block Group 0, Census Tract 9910, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019911000","Block Group 0, Census Tract 9911, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019912000","Block Group 0, Census Tract 9912, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019913000","Block Group 0, Census Tract 9913, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019914000","Block Group 0, Census Tract 9914, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019915000","Block Group 0, Census Tract 9915, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019916000","Block Group 0, Census Tract 9916, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150019917000","Block Group 0, Census Tract 9917, Hawaii County, Hawaii","0","11","0","11","0","11",
"1500000US150030001061","Block Group 1, Census Tract 1.06, Honolulu County, Hawaii","745","141","318","85","427","138",
"1500000US150030001062","Block Group 2, Census Tract 1.06, Honolulu County, Hawaii","1129","191","813","140","316","145",
"1500000US150030001063","Block Group 3, Census Tract 1.06, Honolulu County, Hawaii","690","113","559","120","131","77",
"1500000US150030001064","Block Group 4, Census Tract 1.06, Honolulu County, Hawaii","510","120","412","101","98","92",
"1500000US150030001071","Block Group 1, Census Tract 1.07, Honolulu County, Hawaii","427","51","329","54","98","35",
"1500000US150030001072","Block Group 2, Census Tract 1.07, Honolulu County, Hawaii","231","32","218","30","13","14",
"1500000US150030001073","Block Group 3, Census Tract 1.07, Honolulu County, Hawaii","204","40","169","32","35","35",
"1500000US150030001081","Block Group 1, Census Tract 1.08, Honolulu County, Hawaii","725","71","554","76","171","70",
"1500000US150030001082","Block Group 2, Census Tract 1.08, Honolulu County, Hawaii","409","86","328","76","81","52",
"1500000US150030001101","Block Group 1, Census Tract 1.10, Honolulu County, Hawaii","307","47","299","44","8","12",
"1500000US150030001102","Block Group 2, Census Tract 1.10, Honolulu County, Hawaii","448","60","397","65","51","35",
"1500000US150030001103","Block Group 3, Census Tract 1.10, Honolulu County, Hawaii","576","66","535","72","41","34",
"1500000US150030001111","Block Group 1, Census Tract 1.11, Honolulu County, Hawaii","612","78","531","73","81","51",
"1500000US150030001112","Block Group 2, Census Tract 1.11, Honolulu County, Hawaii","710","81","643","75","67","59",
"1500000US150030001113","Block Group 3, Census Tract 1.11, Honolulu County, Hawaii","112","33","112","33","0","11",
"1500000US150030001121","Block Group 1, Census Tract 1.12, Honolulu County, Hawaii","306","65","306","65","0","11",
"1500000US150030001122","Block Group 2, Census Tract 1.12, Honolulu County, Hawaii","1075","131","748","144","327","124",
"1500000US150030001123","Block Group 3, Census Tract 1.12, Honolulu County, Hawaii","545","77","515","76","30","36",
"1500000US150030001141","Block Group 1, Census Tract 1.14, Honolulu County, Hawaii","493","49","427","51","66","38",
"1500000US150030002001","Block Group 1, Census Tract 2, Honolulu County, Hawaii","237","52","219","52","18","21",
"1500000US150030002002","Block Group 2, Census Tract 2, Honolulu County, Hawaii","231","35","201","34","30","30",
"1500000US150030002003","Block Group 3, Census Tract 2, Honolulu County, Hawaii","297","54","259","46","38","33",
"1500000US150030002004","Block Group 4, Census Tract 2, Honolulu County, Hawaii","467","69","457","71","10","17",
"1500000US150030002005","Block Group 5, Census Tract 2, Honolulu County, Hawaii","488","86","358","78","130","83",
"1500000US150030003011","Block Group 1, Census Tract 3.01, Honolulu County, Hawaii","335","64","310","63","25","24",
"1500000US150030003012","Block Group 2, Census Tract 3.01, Honolulu County, Hawaii","698","84","583","90","115","54",
"1500000US150030003021","Block Group 1, Census Tract 3.02, Honolulu County, Hawaii","339","64","314","63","25","24",
"1500000US150030003022","Block Group 2, Census Tract 3.02, Honolulu County, Hawaii","135","56","131","55","4","8",
"1500000US150030003023","Block Group 3, Census Tract 3.02, Honolulu County, Hawaii","423","83","376","74","47","50",
"1500000US150030004011","Block Group 1, Census Tract 4.01, Honolulu County, Hawaii","992","44","810","75","182","82",
"1500000US150030004021","Block Group 1, Census Tract 4.02, Honolulu County, Hawaii","683","75","651","79","32","26",
"1500000US150030004022","Block Group 2, Census Tract 4.02, Honolulu County, Hawaii","618","68","571","68","47","35",
"1500000US150030005001","Block Group 1, Census Tract 5, Honolulu County, Hawaii","246","64","188","58","58","44",
"1500000US150030005002","Block Group 2, Census Tract 5, Honolulu County, Hawaii","162","56","101","47","61","44",
"1500000US150030005003","Block Group 3, Census Tract 5, Honolulu County, Hawaii","339","67","296","63","43","33",
"1500000US150030005004","Block Group 4, Census Tract 5, Honolulu County, Hawaii","363","78","296","77","67","50",
"1500000US150030005005","Block Group 5, Census Tract 5, Honolulu County, Hawaii","211","76","187","76","24","22",
"1500000US150030006001","Block Group 1, Census Tract 6, Honolulu County, Hawaii","0","11","0","11","0","11",
"1500000US150030006002","Block Group 2, Census Tract 6, Honolulu County, Hawaii","504","61","399","53","105","61",
"1500000US150030007001","Block Group 1, Census Tract 7, Honolulu County, Hawaii","441","73","334","73","107","52",
"1500000US150030007002","Block Group 2, Census Tract 7, Honolulu County, Hawaii","323","45","226","55","97","49",
"1500000US150030007003","Block Group 3, Census Tract 7, Honolulu County, Hawaii","212","55","136","59","76","49",
"1500000US150030008001","Block Group 1, Census Tract 8, Honolulu County, Hawaii","426","97","182","60","244","88",
"1500000US150030008002","Block Group 2, Census Tract 8, Honolulu County, Hawaii","318","60","251","63","67","50",
"1500000US150030008003","Block Group 3, Census Tract 8, Honolulu County, Hawaii","313","67","224","57","89","55",
"1500000US150030008004","Block Group 4, Census Tract 8, Honolulu County, Hawaii","119","62","90","60","29","28",
"1500000US150030009011","Block Group 1, Census Tract 9.01, Honolulu County, Hawaii","412","70","272","61","140","71",
"1500000US150030009012","Block Group 2, Census Tract 9.01, Honolulu County, Hawaii","812","103","418","80","394","111",
"1500000US150030009021","Block Group 1, Census Tract 9.02, Honolulu County, Hawaii","1139","92","840","118","299","110",
"1500000US150030009022","Block Group 2, Census Tract 9.02, Honolulu County, Hawaii","309","78","261","84","48","33",
"1500000US150030009031","Block Group 1, Census Tract 9.03, Honolulu County, Hawaii","458","97","281","69","177","69",
"1500000US150030009032","Block Group 2, Census Tract 9.03, Honolulu County, Hawaii","552","81","296","73","256","84",
"1500000US150030010001","Block Group 1, Census Tract 10, Honolulu County, Hawaii","467","90","242","66","225","92",
"1500000US150030010002","Block Group 2, Census Tract 10, Honolulu County, Hawaii","596","108","520","109","76","47",
